"","Year","Phrase","Frequency","Corpus"
"1",1800,"happiness",0.000101778243333683,"eng_2019"
"2",1801,"happiness",0.000104617977922317,"eng_2019"
"3",1802,"happiness",0.000102994500290758,"eng_2019"
"4",1803,"happiness",0.000103810642031021,"eng_2019"
"5",1804,"happiness",0.00010357908052226,"eng_2019"
"6",1805,"happiness",0.000101703797034653,"eng_2019"
"7",1806,"happiness",9.99676839066004e-05,"eng_2019"
"8",1807,"happiness",0.00010109952667595,"eng_2019"
"9",1808,"happiness",9.91754589319628e-05,"eng_2019"
"10",1809,"happiness",9.70790112790253e-05,"eng_2019"
"11",1810,"happiness",9.37545316576559e-05,"eng_2019"
"12",1811,"happiness",9.19873647425058e-05,"eng_2019"
"13",1812,"happiness",9.08360629442281e-05,"eng_2019"
"14",1813,"happiness",9.03288341110705e-05,"eng_2019"
"15",1814,"happiness",9.16585403112029e-05,"eng_2019"
"16",1815,"happiness",9.12344621610828e-05,"eng_2019"
"17",1816,"happiness",9.20401351842364e-05,"eng_2019"
"18",1817,"happiness",9.49447431984092e-05,"eng_2019"
"19",1818,"happiness",9.56890310460169e-05,"eng_2019"
"20",1819,"happiness",9.49503498434621e-05,"eng_2019"
"21",1820,"happiness",9.73875732077951e-05,"eng_2019"
"22",1821,"happiness",9.7617822965341e-05,"eng_2019"
"23",1822,"happiness",9.81688541027584e-05,"eng_2019"
"24",1823,"happiness",9.85169244813733e-05,"eng_2019"
"25",1824,"happiness",9.63262646109797e-05,"eng_2019"
"26",1825,"happiness",9.58687451202422e-05,"eng_2019"
"27",1826,"happiness",9.55415172419245e-05,"eng_2019"
"28",1827,"happiness",9.45474239415489e-05,"eng_2019"
"29",1828,"happiness",9.11412373950173e-05,"eng_2019"
"30",1829,"happiness",8.49574571475387e-05,"eng_2019"
"31",1830,"happiness",8.55353885396783e-05,"eng_2019"
"32",1831,"happiness",8.38422264288446e-05,"eng_2019"
"33",1832,"happiness",8.40469510876574e-05,"eng_2019"
"34",1833,"happiness",8.3335670102055e-05,"eng_2019"
"35",1834,"happiness",8.10358708674487e-05,"eng_2019"
"36",1835,"happiness",7.95265379045824e-05,"eng_2019"
"37",1836,"happiness",8.1831354431675e-05,"eng_2019"
"38",1837,"happiness",7.96336680650711e-05,"eng_2019"
"39",1838,"happiness",7.89380002450863e-05,"eng_2019"
"40",1839,"happiness",7.64236111925649e-05,"eng_2019"
"41",1840,"happiness",7.47753209517603e-05,"eng_2019"
"42",1841,"happiness",7.31560950433569e-05,"eng_2019"
"43",1842,"happiness",7.16813208003129e-05,"eng_2019"
"44",1843,"happiness",7.04323953998807e-05,"eng_2019"
"45",1844,"happiness",6.88816736718374e-05,"eng_2019"
"46",1845,"happiness",6.77111051377973e-05,"eng_2019"
"47",1846,"happiness",6.63441990452286e-05,"eng_2019"
"48",1847,"happiness",6.55372402564223e-05,"eng_2019"
"49",1848,"happiness",6.40045301614529e-05,"eng_2019"
"50",1849,"happiness",6.36308671216414e-05,"eng_2019"
"51",1850,"happiness",6.22209211412285e-05,"eng_2019"
"52",1851,"happiness",6.16437266996529e-05,"eng_2019"
"53",1852,"happiness",6.04374727117829e-05,"eng_2019"
"54",1853,"happiness",5.95724263153638e-05,"eng_2019"
"55",1854,"happiness",5.78041285085159e-05,"eng_2019"
"56",1855,"happiness",5.6386198204044e-05,"eng_2019"
"57",1856,"happiness",5.53916621096765e-05,"eng_2019"
"58",1857,"happiness",5.45232095256714e-05,"eng_2019"
