,pgdp,gdp,pw,eri,LPrm,RS,RL,Natdebt,LNatdebt,m,LEmpUK,LKtotUK,Rna,E,pop,Un,wpop,RsUS,Pcpi,LW85,nh,w,Dpgdp,Dm,ppp,Ur,RLr,Dgdp,DUr,Ursq,Dpop,Wshare,Dpgfna,DpgfnaDp,ulc,gdppc,ulcp,ulcpm,er,RrDg
1870-1,-3.678306407,10.52529891,#N/A,#N/A,#N/A,0.0328,0.0324,802.2609941,6.687433984,#N/A,9.445948538,#N/A,#N/A,#N/A,#N/A,462.55814,13119.34091,#N/A,-4.173434755,-5.156897201,#N/A,#N/A,#N/A,#N/A,#N/A,0.035257727,#N/A,#N/A,#N/A,0.001243107,#N/A,#N/A,#N/A,#N/A,#N/A,1.043456082,#N/A,#N/A,#N/A,#N/A
1871-1,-3.653287496,10.56229986,#N/A,#N/A,#N/A,0.0289,0.0324,791.3254576,6.673709334,#N/A,9.473769568,#N/A,#N/A,#N/A,#N/A,199.53488,13213.38636,#N/A,-4.15953185,-5.118661174,#N/A,#N/A,0.025018911,#N/A,#N/A,0.015100965,0.007381089,0.037000956,-0.020156762,0.000228039,#N/A,#N/A,#N/A,#N/A,#N/A,1.073314151,#N/A,#N/A,#N/A,-0.029619868
1872-1,-3.595196808,10.56443434,#N/A,#N/A,#N/A,0.0408,0.0324,790.0389239,6.672082215,#N/A,9.487178221,#N/A,#N/A,#N/A,#N/A,117.90698,13307.43182,#N/A,-4.113602918,-5.058034067,#N/A,#N/A,0.058090687,#N/A,#N/A,0.008860236,-0.025690687,0.002134472,-0.006240729,7.85038E-05,#N/A,#N/A,#N/A,#N/A,#N/A,1.068356395,#N/A,#N/A,#N/A,-0.02782516
1873-1,-3.546847007,10.59591647,-2.450046003,1.708432207,2.250570189,0.047,0.0324,785.0000002,6.665683718,6.348945732,9.492916739,5.039090251,0.052332512,5.5203,3.402680008,136.04651,13401.47727,0.103100004,-4.083073713,-5.012050965,#N/A,-4.722059304,0.048349802,#N/A,0.611631203,0.010151605,-0.015949802,0.031482138,0.00129137,0.000103055,#N/A,0.102467251,#N/A,#N/A,-5.825059039,1.092796251,-2.278212032,0.084387968,1.708432207,-0.04743194
1874-1,-3.578646758,10.60209569,-2.460790495,1.695285279,2.250570189,0.0356,0.0324,779,6.658011046,6.385987004,9.494535227,5.066016704,0.038432014,5.4482,3.412698955,208.60465,13495.52273,0.0598,-4.116630496,-5.000892221,#N/A,-4.681237309,-0.031799751,0.037041272,0.577429016,0.015457323,0.064199751,0.006179216,0.005305717,0.000238929,0.010018946,0.109684083,-0.497209616,0.015811142,-5.788797773,1.091982431,-2.210151015,0.152448985,1.695285279,0.058020535
1875-1,-3.625087522,10.62843967,-2.484210828,1.72577991,2.250570189,0.0314,0.032,775,6.652863029,6.407247003,9.496151099,5.093980236,0.034398917,5.6169,3.42304493,281.16279,13589.56818,0.054400001,-4.135813316,-5.023354835,#N/A,-4.681237309,-0.046440764,0.021259999,0.584903217,0.020689604,0.078440764,0.026343975,0.005232282,0.00042806,0.010345975,0.112091659,-0.316782048,0.0147116,-5.813525877,1.111381935,-2.188438355,0.174161645,1.72577991,0.052096788
1876-1,-3.65157856,10.63442174,-2.531107015,1.697192347,2.250570189,0.0226,0.0316,777,6.65544035,6.408863818,9.49093703,5.123158536,0.025154666,5.4586,3.433977972,444.4186,13683.61364,0.051300001,-4.138817825,-5.034787945,#N/A,-4.691287645,-0.026491039,0.001616815,0.576720801,0.03247816,0.058091039,0.005982072,0.011788556,0.001054831,0.010933042,0.112681075,-0.587621702,0.015566709,-5.834772354,1.110467427,-2.183193794,0.179406206,1.697192347,0.052108967
1877-1,-3.66900922,10.64824229,-2.568210777,1.630396734,2.250570189,0.0262,0.0315,770,6.646390515,6.402380814,9.488446522,5.151235436,0.029181613,5.1059,3.445239622,571.39535,13777.65909,0.051799998,-4.14584244,-5.046353285,#N/A,-4.701440016,-0.01743066,-0.006483005,0.529598291,0.0414726,0.04893066,0.013820556,0.00899444,0.001719977,0.01126165,0.111667836,-0.766972391,0.013368835,-5.861235788,1.117438641,-2.192226569,0.170373431,1.630396734,0.035110104
1878-1,-3.681358186,10.64234257,-2.644965639,1.592108624,2.250570189,0.0359,0.0315,772,6.64898455,6.362574563,9.476959072,5.176676599,0.042093098,4.9141,3.455786618,816.27907,13871.70455,0.048000002,-4.168088049,-5.069873022,#N/A,-4.732530604,-0.012348966,-0.03980625,0.555716077,0.0588449,0.043848966,-0.005899722,0.0173723,0.003462722,0.010546996,0.108983812,-0.867681253,0.010714966,-5.897914103,1.104736171,-2.216555918,0.146044082,1.592108624,0.049748688
1879-1,-3.724834406,10.65020116,-2.680852427,1.580132678,2.250570189,0.0214,0.0308,773,6.650279049,6.331644262,9.437544968,5.198614814,0.026623604,4.8556,3.466690062,1414.88372,13965.75,0.050599999,-4.213085415,-5.093979896,#N/A,-4.753808002,-0.04347622,-0.030930301,0.536150699,0.101310973,0.07427622,0.007858587,0.042466073,0.010263913,0.010903444,0.106285141,-0.345999006,0.015042729,-5.966464192,1.105837976,-2.241629786,0.120970214,1.580132678,0.066417633
