REP,TRT,CKG_LOSS,PH,MOIST,FAT,HEX,MONHEM,CKG_TIME
1,1,36.2,6.2,57.01,11.72,1.32,1.31,47
1,2,36.2,6.34,59.95,10,1.18,9.2,47
1,3,31.5,6.52,61.93,9.85,0.5,5.3,46
1,4,33,6.49,59.95,10.32,1.55,7.8,48
1,5,32.5,6.5,60.98,9.88,0.88,8.8,44
2,1,34.8,6.49,61.4,9.35,1,8.6,48
2,2,33,6.62,59.96,9.32,0.4,6.8,52
2,3,26.8,6.73,63.37,10.08,0.3,4.8,54
2,4,34,6.67,59.81,9.2,0.75,6.4,50
2,5,32.8,6.86,60.37,9.18,0.32,7.2,48
3,1,37.5,6.2,57.01,9.92,0.58,9.8,50
3,2,33.2,6.67,60.86,10.18,0.48,8.8,47
3,3,27.8,6.78,61.92,9.38,0.2,5.8,47
3,4,34.2,6.64,59.34,11.32,0.73,8,49
3,5,32,6.78,58.5,10.48,0.35,7.2,48
4,1,38.5,7.34,59.25,10.58,1.48,8.2,48
4,2,35,6.61,61.12,10.05,0.9,7,48
4,3,33.8,6.65,60.4,9.52,0.32,6.6,50
4,4,35.8,6.47,61.08,10.52,1.58,6.6,49
4,5,36.5,6.72,61.61,9.7,0.55,7.4,48
5,1,38.5,6.4,56.25,10.18,0.9,9.6,47
5,2,34.2,6.67,61.37,9.48,0.65,6.8,47
5,3,33.5,6.74,61.6,9.6,0.22,5.2,45
5,4,37.5,6.74,60.78,10.18,1.3,7.2,48
5,5,36.2,6.7,59.57,10.12,0.88,7,48
