"","location","hits","keyword","geo","gprop"
"1","Republic of Karakalpakstan",NA,"electric vehicles","UZ","web"
"2","Bukhara Province",NA,"electric vehicles","UZ","web"
"3","Andijan Province",NA,"electric vehicles","UZ","web"
"4","Ferghana Province",NA,"electric vehicles","UZ","web"
"5","Jizzakh Province",NA,"electric vehicles","UZ","web"
"6","Namangan Province",NA,"electric vehicles","UZ","web"
"7","Navoiy Province",NA,"electric vehicles","UZ","web"
"8","Kashkadarya Province",NA,"electric vehicles","UZ","web"
"9","Samarkand Province",NA,"electric vehicles","UZ","web"
"10","Sirdarya Province",NA,"electric vehicles","UZ","web"
"11","Surkhandarya Province",NA,"electric vehicles","UZ","web"
"12","Tashkent Province",NA,"electric vehicles","UZ","web"
"13","Khorezm Province",NA,"electric vehicles","UZ","web"
"14","Andijan Province",NA,"electric cars","UZ","web"
"15","Bukhara Province",NA,"electric cars","UZ","web"
"16","Samarkand Province",NA,"electric cars","UZ","web"
"17","Namangan Province",NA,"electric cars","UZ","web"
"18","Tashkent Province",NA,"electric cars","UZ","web"
"19","Surkhandarya Province",NA,"electric cars","UZ","web"
"20","Navoiy Province",NA,"electric cars","UZ","web"
"21","Khorezm Province",NA,"electric cars","UZ","web"
"22","Republic of Karakalpakstan",NA,"electric cars","UZ","web"
"23","Ferghana Province",NA,"electric cars","UZ","web"
"24","Jizzakh Province",NA,"electric cars","UZ","web"
"25","Kashkadarya Province",NA,"electric cars","UZ","web"
"26","Sirdarya Province",NA,"electric cars","UZ","web"
"27","Andijan Province",NA,"hybrid electric vehicles","UZ","web"
"28","Bukhara Province",NA,"hybrid electric vehicles","UZ","web"
"29","Ferghana Province",NA,"hybrid electric vehicles","UZ","web"
"30","Jizzakh Province",NA,"hybrid electric vehicles","UZ","web"
"31","Namangan Province",NA,"hybrid electric vehicles","UZ","web"
"32","Navoiy Province",NA,"hybrid electric vehicles","UZ","web"
"33","Kashkadarya Province",NA,"hybrid electric vehicles","UZ","web"
"34","Republic of Karakalpakstan",NA,"hybrid electric vehicles","UZ","web"
"35","Samarkand Province",NA,"hybrid electric vehicles","UZ","web"
"36","Sirdarya Province",NA,"hybrid electric vehicles","UZ","web"
"37","Surkhandarya Province",NA,"hybrid electric vehicles","UZ","web"
"38","Tashkent Province",NA,"hybrid electric vehicles","UZ","web"
"39","Khorezm Province",NA,"hybrid electric vehicles","UZ","web"
"40","Andijan Province",NA,"electric two-wheelers","UZ","web"
"41","Bukhara Province",NA,"electric two-wheelers","UZ","web"
"42","Ferghana Province",NA,"electric two-wheelers","UZ","web"
"43","Jizzakh Province",NA,"electric two-wheelers","UZ","web"
"44","Namangan Province",NA,"electric two-wheelers","UZ","web"
"45","Navoiy Province",NA,"electric two-wheelers","UZ","web"
"46","Kashkadarya Province",NA,"electric two-wheelers","UZ","web"
"47","Republic of Karakalpakstan",NA,"electric two-wheelers","UZ","web"
"48","Samarkand Province",NA,"electric two-wheelers","UZ","web"
"49","Sirdarya Province",NA,"electric two-wheelers","UZ","web"
"50","Surkhandarya Province",NA,"electric two-wheelers","UZ","web"
"51","Tashkent Province",NA,"electric two-wheelers","UZ","web"
"52","Khorezm Province",NA,"electric two-wheelers","UZ","web"
"53","Kashkadarya Province",NA,"electric scooters","UZ","web"
"54","Andijan Province",NA,"electric scooters","UZ","web"
"55","Bukhara Province",NA,"electric scooters","UZ","web"
"56","Ferghana Province",NA,"electric scooters","UZ","web"
"57","Jizzakh Province",NA,"electric scooters","UZ","web"
"58","Namangan Province",NA,"electric scooters","UZ","web"
"59","Navoiy Province",NA,"electric scooters","UZ","web"
"60","Republic of Karakalpakstan",NA,"electric scooters","UZ","web"
"61","Samarkand Province",NA,"electric scooters","UZ","web"
"62","Sirdarya Province",NA,"electric scooters","UZ","web"
"63","Surkhandarya Province",NA,"electric scooters","UZ","web"
"64","Tashkent Province",NA,"electric scooters","UZ","web"
"65","Khorezm Province",NA,"electric scooters","UZ","web"
