"","GP","village","reserved","female","irrigation","water"
"1",1,2,1,1,0,10
"2",1,1,1,1,5,0
"3",2,2,1,1,2,2
"4",2,1,1,1,4,31
"5",3,2,0,0,0,0
"6",3,1,0,0,0,0
"7",4,2,0,0,4,7
"8",4,1,0,0,0,12
"9",5,2,0,0,0,28
"10",5,1,0,0,0,0
"11",6,2,0,0,0,23
"12",6,1,0,0,4,12
"13",7,2,0,0,0,0
"14",7,1,0,0,0,0
"15",8,2,1,1,4,41
"16",8,1,1,1,5,23
"17",9,2,0,0,0,0
"18",9,1,0,0,1,0
"19",10,2,0,0,9,12
"20",10,1,0,0,52,59
"21",11,2,0,0,20,70
"22",11,1,0,0,5,7
"23",12,2,0,0,0,2
"24",12,1,0,0,0,3
"25",13,2,0,0,32,23
"26",13,1,0,0,0,0
"27",14,2,1,1,0,1
"28",14,1,1,1,0,1
"29",15,2,1,1,2,0
"30",15,1,1,1,12,0
"31",16,2,0,0,0,5
"32",16,1,0,0,0,6
"33",17,2,0,0,1,10
"34",17,1,0,0,0,3
"35",18,2,1,1,1,7
"36",18,1,1,1,0,10
"37",19,2,0,0,0,41
"38",19,1,0,0,0,76
"39",20,2,1,1,0,0
"40",20,1,1,1,21,123
"41",21,2,0,0,1,1
"42",21,1,0,0,0,7
"43",22,2,0,0,0,0
"44",22,1,0,0,0,0
"45",23,2,0,0,0,2
"46",23,1,0,0,0,18
"47",24,2,0,0,7,18
"48",24,1,0,0,0,16
"49",25,2,1,1,21,340
"50",25,1,1,1,15,6
"51",26,2,0,1,5,5
"52",26,1,0,1,5,0
"53",27,2,1,1,40,309
"54",27,1,1,1,0,4
"55",28,2,0,0,0,5
"56",28,1,0,0,0,8
"57",29,2,0,0,0,9
"58",29,1,0,0,3,0
"59",30,2,1,1,7,31
"60",30,1,1,1,0,200
"61",31,2,0,0,0,20
"62",31,1,0,0,0,12
"63",32,2,0,0,0,28
"64",32,1,0,0,5,41
"65",33,2,0,0,0,0
"66",33,1,0,0,1,0
"67",34,2,1,1,0,10
"68",34,1,1,1,0,5
"69",35,2,0,0,0,2
"70",35,1,0,0,15,4
"71",36,2,0,0,3,59
"72",36,1,0,0,0,19
"73",37,2,1,1,0,8
"74",37,1,1,1,0,1
"75",38,2,0,0,0,10
"76",38,1,0,0,0,4
"77",39,2,0,0,0,16
"78",39,1,0,0,0,2
"79",40,2,0,0,0,5
"80",40,1,0,0,0,3
"81",41,2,0,0,0,10
"82",41,1,0,0,0,3
"83",42,2,0,0,0,9
"84",42,1,0,0,0,6
"85",43,2,1,1,0,1
"86",43,1,1,1,7,7
"87",44,2,1,1,2,25
"88",44,1,1,1,0,0
"89",45,2,0,0,0,11
"90",45,1,0,0,0,0
"91",46,2,1,1,1,13
"92",46,1,1,1,0,4
"93",47,2,0,0,0,17
"94",47,1,0,0,0,17
"95",48,2,1,1,0,5
"96",48,1,1,1,0,8
"97",49,2,1,1,10,78
"98",49,1,1,1,0,19
"99",50,2,0,0,0,2
"100",50,1,0,0,7,41
"101",51,2,1,1,6,0
"102",51,1,1,1,0,3
"103",52,2,0,0,0,8
"104",52,1,0,0,0,5
"105",53,2,0,0,0,21
"106",53,1,0,0,0,6
"107",54,2,0,0,15,26
"108",54,1,0,0,2,9
"109",55,2,0,0,10,8
"110",55,1,0,0,0,3
"111",56,2,0,0,0,0
"112",56,1,0,0,0,1
"113",57,2,1,1,0,9
"114",57,1,1,1,0,10
